Date;lat;lon;dep;yr;mag
2/01/1990;13.442;144.485;138.1;1990;5.6
4/01/1990;-15.509;-172.887;54.2;1990;6.5
5/01/1990;-8.746;106.468;30.4;1990;5.6
5/01/1990;18.8;-106.881;26.9;1990;5.8
6/01/1990;-10.64;92.919;29.5;1990;5.9
8/01/1990;52.039;-169.545;32.2;1990;5.9
9/01/1990;28.196;88.133;67.2;1990;5.7
9/01/1990;52.012;-169.435;24.1;1990;5.6
9/01/1990;11.542;94.946;23.4;1990;5.5
9/01/1990;24.709;95.212;118.8;1990;6.2
10/01/1990;39.684;143.32;39.6;1990;5.6
10/01/1990;11.663;95.06;26.7;1990;5.7
12/01/1990;5.027;126.546;47.2;1990;5.5
14/01/1990;37.788;91.963;11;1990;5.8
14/01/1990;45.451;150.896;36.9;1990;5.5
14/01/1990;45.444;150.892;43.1;1990;5.7
14/01/1990;-29.888;-177.287;31.1;1990;6
14/01/1990;-30.089;-177.087;10;1990;5.7
18/01/1990;-30.103;-177.609;34.7;1990;5.9
18/01/1990;-20.797;-178.397;580.5;1990;5.5
20/01/1990;35.899;52.975;29.6;1990;5.8
20/01/1990;-15.323;-173.242;27;1990;5.6
22/01/1990;3.909;96.059;45.8;1990;6.1
24/01/1990;14.617;119.45;25.1;1990;5.7
2/02/1990;-18.4;176.958;15;1990;5.9
2/02/1990;-18.005;-178.281;580.9;1990;5.5
2/02/1990;-5.258;151.181;37;1990;5.6
4/02/1990;-10.276;110.218;25.4;1990;5.6
5/02/1990;37.045;71.245;101.3;1990;6.2
8/02/1990;9.766;124.629;23.5;1990;6.8
8/02/1990;9.736;124.53;51;1990;6.6
10/02/1990;-42.313;172.836;1.2;1990;5.8
12/02/1990;-5.222;151.455;21.3;1990;5.5
17/02/1990;-4.488;-105.449;13.9;1990;5.6
17/02/1990;29.581;130.71;68.2;1990;6
18/02/1990;-5.524;149.416;142.5;1990;5.7
19/02/1990;-40.368;176.198;25.4;1990;6.2
19/02/1990;-15.483;166.475;22.8;1990;6.8
20/02/1990;34.743;139.268;11.1;1990;6.3
21/02/1990;16.794;-62.359;117;1990;5.6
22/02/1990;-11.466;66.349;15.1;1990;5.5
24/02/1990;-15.393;-175.16;1.3;1990;6
26/02/1990;-26.693;-114.712;13.9;1990;5.9
27/02/1990;-17.245;-64.146;610.4;1990;5.7
1/03/1990;53.336;159.974;25.8;1990;5.5
3/03/1990;-21.956;175.258;35.8;1990;7.6
3/03/1990;-21.448;175.822;23.7;1990;6.2
3/03/1990;-22.385;174.263;46.4;1990;6.7
4/03/1990;28.9;66.361;5.2;1990;5.9
5/03/1990;-18.319;168.157;23.6;1990;7
5/03/1990;36.885;73.016;11.4;1990;6.1
5/03/1990;36.764;73.026;88.2;1990;5.5
7/03/1990;-17.343;66.634;18.6;1990;5.8
12/03/1990;51.488;-175.018;13.6;1990;6.3
14/03/1990;4.567;122.571;621.4;1990;5.5
15/03/1990;-15.135;167.372;126.5;1990;6.4
16/03/1990;24.831;-109.05;28.3;1990;6
20/03/1990;27.224;141.662;50.8;1990;5.6
21/03/1990;-31.172;-179.019;148.2;1990;6.6
25/03/1990;9.847;-84.769;33.3;1990;7.1
25/03/1990;9.94;-84.775;22.1;1990;7.3
25/03/1990;37.001;72.925;48.6;1990;6.4
26/03/1990;44.45;148.693;43.6;1990;5.8
26/03/1990;9.281;125.559;52.5;1990;5.7
31/03/1990;42.989;146.941;28.8;1990;5.9
31/03/1990;-39.926;46.412;1.3;1990;5.8
3/04/1990;-5.865;147.706;100.1;1990;6.1
3/04/1990;11.434;-86.297;50;1990;6.8
4/04/1990;11.557;-86.411;65.8;1990;5.7
